id,code,acronym,name,internal_hours,external_hours,ects,subject_id:id
"ims.subject_0373","0373","MP 0373","Llenguatges de marques i sistemes de gestió d’informació",66,33,7,""
"ims.subject_0483","0483","MP 0483","Sistemes informàtics",99,66,11,""
"ims.subject_0484","0484","MP 0484","Bases de dades",132,66,12,""
"ims.subject_0485","0485","MP 0485","Programació",198,66,15,""
"ims.subject_0487","0487","MP 0487","Entorns de desenvolupament",66,33,6,""
"ims.subject_0612","0612","MP 0612","Desenvolupament web en entorn client",99,66,10,""
"ims.subject_0613","0613","MP 0613","Desenvolupament web en entorn servidor",99,66,13,""
"ims.subject_0614","0614","MP 0614","Desplegament d’aplicacions web",66,53,5,""
"ims.subject_0615","0615","MP 0615","Disseny d’interfícies web",66,66,10,""
"ims.subject_0179","0179","MP 0179","Anglès professional",66,0,5,""
"ims.subject_1665","1665","MP 1665","Digitalització aplicada als sectors productius",33,0,3,""
"ims.subject_1708","1708","MP 1708","Sostenibilitat aplicada al sistema productiu",33,0,3,""
"ims.subject_1709","1709","MP 1709","Itinerari personal per a l'ocupabilitat I",99,0,5,""
"ims.subject_1710","1710","MP 1710","Itinerari personal per a l'ocupabilitat II",66,0,5,""
"ims.subject_0616","0616","MP 0616","Projecte intermodular de desenvolupament d'aplicacions web",198,0,5,""
"ims.subject_OPT3","OPT3","MP OPT3","Programació FullStack",99,0,5,""
"ims.subject_0486","0486","MP 0486","Accés a dades",66,66,10,""
"ims.subject_0488","0488","MP 0488","Desenvolupament d’interfícies",66,53,10,""
"ims.subject_0489","0489","MP 0489","Programació multimèdia i dispositius mòbils",66,66,7,""
"ims.subject_0490","0490","MP 0490","Programació de serveis i processos",66,33,5,""
"ims.subject_0491","0491","MP 0491","Sistemes de gestió empresarial",66,33,6,""
"ims.subject_0492","0492","MP 0492","Projecte intermodular de desenvolupament d'aplicacions multiplataforma",198,0,5,""